Detector,Condition,N,Correct to Wrong,Wrong to Correct,Unchanged Correct,Unchanged Wrong,McNemar Statistic,p-value
binoculars,Libre UR,1452,573,7,734,138,7,2.161392881851266e-159
perplexity,Libre UR,1500,547,78,728,147,78,1.1740669314704331e-87
detectgpt,Libre UR,1500,531,122,694,153,122,1.0489018107666223e-61
roberta,Google DE,1500,417,178,697,208,178,4.426364042569542e-23
binoculars,Google DE,1429,382,14,902,131,14,2.7267711427976916e-94
roberta,Libre UR,1500,357,134,757,252,134,1.9501510717324e-24
binoculars,Google UR,1438,332,16,961,129,16,5.70850137223994e-78
roberta,Google UR,1500,330,164,784,222,164,6.662477386931148e-14
roberta,Libre DE,1500,268,104,846,282,104,8.346721450164643e-18
perplexity,Google DE,1500,267,56,1008,169,56,4.289134633954953e-34
binoculars,Libre DE,1452,242,16,1065,129,16,5.294891442925802e-53
detectgpt,Google DE,1429,234,140,938,117,140,1.3437582074804664e-06
perplexity,Google UR,1500,227,46,1048,179,46,6.2152029993324326e-30
detectgpt,Google UR,1464,217,141,977,129,141,6.959449911535161e-05
perplexity,Libre DE,1500,205,51,1070,174,51,4.65804897496666e-23
detectgpt,Libre DE,1500,204,123,1021,152,123,8.772219925511647e-06
xlmr,Libre UR,1500,95,2,1403,0,2,6.000391589473104e-26
xlmr,Google DE,1500,81,1,1417,1,1,3.432799542095065e-23
xlmr,Google UR,1500,38,1,1460,1,1,1.4551915228366852e-10
xlmr,Libre DE,1500,4,1,1494,1,1,0.375
